case_id,activity,started_at,finished_at,objects,object_ids
case_1,"Send Grid
Coordinates",2025-01-26 14:50:09,2025-01-26 15:19:09,"Wait for
Result;token_47;token_24;token_25;Send Grid
Coordinates",ID86158;token_47;token_24;token_25;ID86225
case_2,"Receive
Result",2025-01-26 14:50:09,2025-01-26 14:59:09,"Wait for
Result;token_69;token_25;token_65;Receive
Result",ID86158;token_69;token_25;token_65;ID88846
case_3,"Connect to
Python Weather
Service",2025-01-26 14:50:09,2025-01-26 15:12:09,"Ready;token_95;token_64;token_95;Connect to
Python Weather
Service",ID89496;token_95;token_64;token_95;ID89596
case_4,"Connect to
Python Weather
Service",2025-01-26 14:50:09,2025-01-26 15:09:09,"Connected;token_34;token_27;Connect to
Python Weather
Service",ID86144;token_34;token_27;ID89596
case_5,"Send Grid
Coordinates",2025-01-26 14:50:09,2025-01-26 15:13:09,"Connected;token_40;token_23;Send Grid
Coordinates",ID86144;token_40;token_23;ID86225
case_6,"Receive
Result",2025-01-26 14:50:09,2025-01-26 15:11:09,"Result;token_93;Receive
Result",ID1428424713;token_93;ID88846
case_7,"Send Grid
Coordinates",2025-01-26 14:50:09,2025-01-26 15:16:09,"GridXY;token_35;token_38;Send Grid
Coordinates",ID1448501350;token_35;token_38;ID86225
case_8,"Turn On
Cooling",2025-01-26 14:50:09,2025-01-26 15:00:09,"Result;token_21;token_9;Turn On
Cooling",ID1428424713;token_21;token_9;ID1448506778
case_9,"Turn On
Heating",2025-01-26 14:50:09,2025-01-26 14:58:09,"Result;token_55;Turn On
Heating",ID1428424713;token_55;ID1448507541
case_10,"Turn On
Heating",2025-01-26 14:50:09,2025-01-26 15:20:09,"Connected;token_56;token_3;Turn On
Heating",ID86144;token_56;token_3;ID1448507541
case_11,"Turn On
Cooling",2025-01-26 14:50:09,2025-01-26 15:03:09,"Connected;token_1;token_42;token_45;Turn On
Cooling",ID86144;token_1;token_42;token_45;ID1448506778
case_12,"Close 
Connection",2025-01-26 14:50:09,2025-01-26 15:19:09,"Connected;token_63;Close 
Connection",ID86144;token_63;ID1428429147
