case_id,activity,started_at,finished_at,objects,object_ids
case_1,(InitSteelCoil),2025-01-27 21:57:42,2025-01-27 22:02:42,P2;token_85;token_28;(InitSteelCoil),ID816;token_85;token_28;ID901
case_2,(InitSteelCoil),2025-01-27 21:57:42,2025-01-27 22:02:42,P3;token_44;(InitSteelCoil),ID861;token_44;ID901
case_3,(InitSteelPin),2025-01-27 21:57:42,2025-01-27 22:02:42,P4;token_37;token_27;(InitSteelPin),ID101;token_37;token_27;ID78
case_4,(InitSteelPin),2025-01-27 21:57:42,2025-01-27 22:02:42,P5;token_31;token_3;token_50;(InitSteelPin),ID910;token_31;token_3;token_50;ID78
case_5,(InitSteelPin),2025-01-27 21:57:42,2025-01-27 22:02:42,P8;token_18;(InitSteelPin),ID622;token_18;ID78
case_6,(InitSteelCoil),2025-01-27 21:57:42,2025-01-27 22:02:42,P1;token_95;token_34;(InitSteelCoil),ID150;token_95;token_34;ID901
case_7,(InitSteelPin),2025-01-27 21:57:42,2025-01-27 22:02:42,P4;token_29;(InitSteelPin),ID101;token_29;ID78
case_8,(InitSteelCoil),2025-01-27 21:57:42,2025-01-27 22:02:42,P2;token_50;token_87;token_24;(InitSteelCoil),ID816;token_50;token_87;token_24;ID901
case_9,"Log
Initialisation",2025-01-27 21:57:42,2025-01-27 22:02:42,"C1;token_14;token_36;Log
Initialisation",ID481;token_14;token_36;ID653
case_10,"API
Initialisation",2025-01-27 21:57:42,2025-01-27 22:02:42,"C3;token_23;API
Initialisation",ID562;token_23;ID730
case_11,"Manufactoring
Process",2025-01-27 21:57:42,2025-01-27 22:02:42,"P5;token_65;token_2;Manufactoring
Process",ID910;token_65;token_2;ID814
case_12,"Manufactoring
Process",2025-01-27 21:57:42,2025-01-27 22:02:42,"P3;token_98;Manufactoring
Process",ID861;token_98;ID814
case_13,"Manufactoring
Process",2025-01-27 21:57:42,2025-01-27 22:02:42,"P6;token_59;token_7;token_7;Manufactoring
Process",ID174;token_59;token_7;token_7;ID814
case_14,"API
Initialisation",2025-01-27 21:57:42,2025-01-27 22:02:42,"C2;token_40;token_51;API
Initialisation",ID512;token_40;token_51;ID730
case_15,"Log
Initialisation",2025-01-27 21:57:42,2025-01-27 22:02:42,"C2;token_15;token_24;token_87;Log
Initialisation",ID512;token_15;token_24;token_87;ID653
case_16,API Close,2025-01-27 21:57:42,2025-01-27 22:02:42,C4;token_2;token_6;API Close,ID609;token_2;token_6;ID796
case_17,SplitSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M1;token_58;token_62;SplitSheet,ID233;token_58;token_62;ID671
case_18,SplitSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M2;token_98;token_3;token_19;SplitSheet,ID594;token_98;token_3;token_19;ID671
case_19,HeatSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M3;token_81;token_24;HeatSheet,ID883;token_81;token_24;ID855
case_20,HeatSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M2;token_7;token_51;HeatSheet,ID594;token_7;token_51;ID855
case_21,FormSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M4;token_17;FormSheet,ID733;token_17;ID24
case_22,FormSheet,2025-01-27 21:57:42,2025-01-27 22:02:42,M3;token_56;token_75;token_15;FormSheet,ID883;token_56;token_75;token_15;ID24
case_23,CoatPart,2025-01-27 21:57:42,2025-01-27 22:02:42,M5;token_23;CoatPart,ID908;token_23;ID804
case_24,CoatPart,2025-01-27 21:57:42,2025-01-27 22:02:42,M4;token_90;token_55;CoatPart,ID733;token_90;token_55;ID804
case_25,CutPart,2025-01-27 21:57:42,2025-01-27 22:02:42,M7;token_23;token_99;token_94;CutPart,ID95;token_23;token_99;token_94;ID110
case_26,CutPart,2025-01-27 21:57:42,2025-01-27 22:02:42,M6;token_80;token_68;CutPart,ID835;token_80;token_68;ID110
case_27,CheckParts,2025-01-27 21:57:42,2025-01-27 22:02:42,M9;token_72;token_93;CheckParts,ID215;token_72;token_93;ID7
case_28,CheckParts,2025-01-27 21:57:42,2025-01-27 22:02:42,M6;token_84;CheckParts,ID835;token_84;ID7
case_29,CheckParts,2025-01-27 21:57:42,2025-01-27 22:02:42,M7;token_1;CheckParts,ID95;token_1;ID7
