case_id,activity,started_at,finished_at,objects,object_ids
case_1,Net ID777,2025-01-26 14:43:55,2025-01-26 15:00:55,Net ID777;token_15;token_3;Net ID777,ID777;token_15;token_3;ID777
case_2,Net ID238,2025-01-26 14:43:55,2025-01-26 14:59:55,Net ID777;token_35;token_57;token_76;Net ID238,ID777;token_35;token_57;token_76;ID238
case_3,Net ID395,2025-01-26 14:43:55,2025-01-26 14:56:55,Net ID777;token_88;Net ID395,ID777;token_88;ID395
case_4,Net ID396,2025-01-26 14:43:55,2025-01-26 15:10:55,Net ID777;token_95;token_87;Net ID396,ID777;token_95;token_87;ID396
case_5,Net ID397,2025-01-26 14:43:55,2025-01-26 14:56:55,Net ID777;token_31;token_5;Net ID397,ID777;token_31;token_5;ID397
case_6,Net ID712,2025-01-26 14:43:55,2025-01-26 14:52:55,Net ID777;token_77;Net ID712,ID777;token_77;ID712
case_7,Net ID398,2025-01-26 14:43:55,2025-01-26 14:57:55,Net ID777;token_5;token_47;token_45;Net ID398,ID777;token_5;token_47;token_45;ID398
case_8,Net ID401,2025-01-26 14:43:55,2025-01-26 15:07:55,Net ID777;token_84;Net ID401,ID777;token_84;ID401
case_9,Net ID403,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID777;token_87;token_36;Net ID403,ID777;token_87;token_36;ID403
case_10,Net ID405,2025-01-26 14:43:55,2025-01-26 15:11:55,Net ID777;token_50;Net ID405,ID777;token_50;ID405
case_11,Net ID732,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID777;token_14;token_89;Net ID732,ID777;token_14;token_89;ID732
case_12,Net ID438,2025-01-26 14:43:55,2025-01-26 15:10:55,Net ID777;token_68;token_29;Net ID438,ID777;token_68;token_29;ID438
case_13,Net ID777,2025-01-26 14:43:55,2025-01-26 14:55:55,Net ID238;token_45;Net ID777,ID238;token_45;ID777
case_14,Net ID238,2025-01-26 14:43:55,2025-01-26 14:48:55,Net ID238;token_28;token_9;Net ID238,ID238;token_28;token_9;ID238
case_15,Net ID395,2025-01-26 14:43:55,2025-01-26 14:49:55,Net ID238;token_35;token_26;Net ID395,ID238;token_35;token_26;ID395
case_16,Net ID396,2025-01-26 14:43:55,2025-01-26 14:56:55,Net ID238;token_83;token_3;Net ID396,ID238;token_83;token_3;ID396
case_17,Net ID397,2025-01-26 14:43:55,2025-01-26 14:48:55,Net ID238;token_97;token_27;token_33;Net ID397,ID238;token_97;token_27;token_33;ID397
case_18,Net ID712,2025-01-26 14:43:55,2025-01-26 14:51:55,Net ID238;token_57;token_82;Net ID712,ID238;token_57;token_82;ID712
case_19,Net ID398,2025-01-26 14:43:55,2025-01-26 14:58:55,Net ID238;token_34;Net ID398,ID238;token_34;ID398
case_20,Net ID401,2025-01-26 14:43:55,2025-01-26 15:04:55,Net ID238;token_39;Net ID401,ID238;token_39;ID401
case_21,Net ID403,2025-01-26 14:43:55,2025-01-26 15:07:55,Net ID238;token_95;token_90;token_13;Net ID403,ID238;token_95;token_90;token_13;ID403
case_22,Net ID405,2025-01-26 14:43:55,2025-01-26 15:10:55,Net ID238;token_62;Net ID405,ID238;token_62;ID405
case_23,Net ID732,2025-01-26 14:43:55,2025-01-26 14:51:55,Net ID238;token_37;token_100;token_11;Net ID732,ID238;token_37;token_100;token_11;ID732
case_24,Net ID438,2025-01-26 14:43:55,2025-01-26 15:08:55,Net ID238;token_41;Net ID438,ID238;token_41;ID438
case_25,Net ID777,2025-01-26 14:43:55,2025-01-26 14:52:55,Net ID395;token_24;Net ID777,ID395;token_24;ID777
case_26,Net ID238,2025-01-26 14:43:55,2025-01-26 14:55:55,Net ID395;token_43;token_42;Net ID238,ID395;token_43;token_42;ID238
case_27,Net ID395,2025-01-26 14:43:55,2025-01-26 14:53:55,Net ID395;token_75;Net ID395,ID395;token_75;ID395
case_28,Net ID396,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID395;token_65;token_61;token_56;Net ID396,ID395;token_65;token_61;token_56;ID396
case_29,Net ID397,2025-01-26 14:43:55,2025-01-26 15:08:55,Net ID395;token_71;token_87;token_19;Net ID397,ID395;token_71;token_87;token_19;ID397
case_30,Net ID712,2025-01-26 14:43:55,2025-01-26 15:06:55,Net ID395;token_80;token_32;Net ID712,ID395;token_80;token_32;ID712
case_31,Net ID398,2025-01-26 14:43:55,2025-01-26 14:58:55,Net ID395;token_5;token_99;token_45;Net ID398,ID395;token_5;token_99;token_45;ID398
case_32,Net ID401,2025-01-26 14:43:55,2025-01-26 14:57:55,Net ID395;token_45;token_36;token_79;Net ID401,ID395;token_45;token_36;token_79;ID401
case_33,Net ID403,2025-01-26 14:43:55,2025-01-26 14:59:55,Net ID395;token_68;Net ID403,ID395;token_68;ID403
case_34,Net ID405,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID395;token_80;token_90;Net ID405,ID395;token_80;token_90;ID405
case_35,Net ID732,2025-01-26 14:43:55,2025-01-26 15:00:55,Net ID395;token_87;token_92;token_90;Net ID732,ID395;token_87;token_92;token_90;ID732
case_36,Net ID438,2025-01-26 14:43:55,2025-01-26 15:01:55,Net ID395;token_75;token_92;token_64;Net ID438,ID395;token_75;token_92;token_64;ID438
case_37,Net ID777,2025-01-26 14:43:55,2025-01-26 14:49:55,Net ID396;token_59;token_74;Net ID777,ID396;token_59;token_74;ID777
case_38,Net ID238,2025-01-26 14:43:55,2025-01-26 14:56:55,Net ID396;token_15;token_25;Net ID238,ID396;token_15;token_25;ID238
case_39,Net ID395,2025-01-26 14:43:55,2025-01-26 15:11:55,Net ID396;token_32;token_52;token_23;Net ID395,ID396;token_32;token_52;token_23;ID395
case_40,Net ID396,2025-01-26 14:43:55,2025-01-26 15:03:55,Net ID396;token_41;token_73;Net ID396,ID396;token_41;token_73;ID396
case_41,Net ID397,2025-01-26 14:43:55,2025-01-26 15:13:55,Net ID396;token_91;token_16;Net ID397,ID396;token_91;token_16;ID397
case_42,Net ID712,2025-01-26 14:43:55,2025-01-26 15:09:55,Net ID396;token_52;token_40;Net ID712,ID396;token_52;token_40;ID712
case_43,Net ID398,2025-01-26 14:43:55,2025-01-26 14:55:55,Net ID396;token_16;token_25;Net ID398,ID396;token_16;token_25;ID398
case_44,Net ID401,2025-01-26 14:43:55,2025-01-26 15:12:55,Net ID396;token_53;token_16;token_95;Net ID401,ID396;token_53;token_16;token_95;ID401
case_45,Net ID403,2025-01-26 14:43:55,2025-01-26 15:09:55,Net ID396;token_8;token_14;token_4;Net ID403,ID396;token_8;token_14;token_4;ID403
case_46,Net ID405,2025-01-26 14:43:55,2025-01-26 15:03:55,Net ID396;token_56;token_97;token_11;Net ID405,ID396;token_56;token_97;token_11;ID405
case_47,Net ID732,2025-01-26 14:43:55,2025-01-26 15:13:55,Net ID396;token_78;Net ID732,ID396;token_78;ID732
case_48,Net ID438,2025-01-26 14:43:55,2025-01-26 15:06:55,Net ID396;token_87;token_93;Net ID438,ID396;token_87;token_93;ID438
case_49,Net ID777,2025-01-26 14:43:55,2025-01-26 15:12:55,Net ID397;token_66;token_98;Net ID777,ID397;token_66;token_98;ID777
case_50,Net ID238,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID397;token_26;token_4;token_6;Net ID238,ID397;token_26;token_4;token_6;ID238
case_51,Net ID395,2025-01-26 14:43:55,2025-01-26 14:55:55,Net ID397;token_27;token_95;token_77;Net ID395,ID397;token_27;token_95;token_77;ID395
case_52,Net ID396,2025-01-26 14:43:55,2025-01-26 15:07:55,Net ID397;token_60;token_93;token_83;Net ID396,ID397;token_60;token_93;token_83;ID396
case_53,Net ID397,2025-01-26 14:43:55,2025-01-26 14:57:55,Net ID397;token_97;token_79;Net ID397,ID397;token_97;token_79;ID397
case_54,Net ID712,2025-01-26 14:43:55,2025-01-26 15:02:55,Net ID397;token_46;token_27;Net ID712,ID397;token_46;token_27;ID712
case_55,Net ID398,2025-01-26 14:43:55,2025-01-26 14:55:55,Net ID397;token_100;token_3;Net ID398,ID397;token_100;token_3;ID398
case_56,Net ID401,2025-01-26 14:43:55,2025-01-26 14:49:55,Net ID397;token_72;token_8;Net ID401,ID397;token_72;token_8;ID401
case_57,Net ID403,2025-01-26 14:43:55,2025-01-26 14:59:55,Net ID397;token_57;token_70;token_51;Net ID403,ID397;token_57;token_70;token_51;ID403
case_58,Net ID405,2025-01-26 14:43:55,2025-01-26 14:54:55,Net ID397;token_19;token_44;token_45;Net ID405,ID397;token_19;token_44;token_45;ID405
case_59,Net ID732,2025-01-26 14:43:55,2025-01-26 15:07:55,Net ID397;token_59;token_8;token_88;Net ID732,ID397;token_59;token_8;token_88;ID732
case_60,Net ID438,2025-01-26 14:43:55,2025-01-26 14:50:55,Net ID397;token_98;token_73;Net ID438,ID397;token_98;token_73;ID438
case_61,Net ID777,2025-01-26 14:43:55,2025-01-26 14:57:55,Net ID712;token_87;token_45;token_92;Net ID777,ID712;token_87;token_45;token_92;ID777
case_62,Net ID238,2025-01-26 14:43:55,2025-01-26 14:51:55,Net ID712;token_63;token_46;Net ID238,ID712;token_63;token_46;ID238
case_63,Net ID395,2025-01-26 14:43:55,2025-01-26 15:09:55,Net ID712;token_83;token_14;token_61;Net ID395,ID712;token_83;token_14;token_61;ID395
