case_id,activity,started_at,finished_at,duration_seconds,objects
case_1,(InitSteelCoil),2025-01-30 16:13:27,2025-01-30 16:27:45,568,"['P2', '(InitSteelCoil)']"
case_2,(InitSteelCoil),2025-01-30 16:25:36,2025-01-30 16:32:47,715,"['P3', '(InitSteelCoil)']"
case_3,(InitSteelPin),2025-01-30 16:39:54,2025-01-30 16:54:40,951,"['P4', '(InitSteelPin)']"
case_4,(InitSteelPin),2025-01-30 16:57:01,2025-01-30 17:14:34,910,"['P5', '(InitSteelPin)']"
case_5,(InitSteelPin),2025-01-30 17:15:59,2025-01-30 17:31:19,937,"['P8', '(InitSteelPin)']"
case_6,(InitSteelCoil),2025-01-30 17:27:08,2025-01-30 17:41:22,714,"['P1', '(InitSteelCoil)']"
case_7,(InitSteelPin),2025-01-30 17:44:26,2025-01-30 17:52:12,923,"['P4', '(InitSteelPin)']"
case_8,(InitSteelCoil),2025-01-30 18:01:21,2025-01-30 18:21:06,1178,"['P2', '(InitSteelCoil)']"
case_9,"Log
Initialisation",2025-01-30 18:12:43,2025-01-30 18:27:32,696,"['C1', 'Log\nInitialisation']"
case_10,"API
Initialisation",2025-01-30 18:30:09,2025-01-30 18:41:42,763,"['C3', 'API\nInitialisation']"
case_11,"Manufactoring
Process",2025-01-30 18:44:03,2025-01-30 19:09:31,1409,"['P5', 'Manufactoring\nProcess']"
case_12,"Manufactoring
Process",2025-01-30 19:10:19,2025-01-30 19:25:13,1318,"['P3', 'Manufactoring\nProcess']"
case_13,"Manufactoring
Process",2025-01-30 19:25:28,2025-01-30 19:50:15,1222,"['P6', 'Manufactoring\nProcess']"
case_14,"API
Initialisation",2025-01-30 19:38:56,2025-01-30 19:56:15,1050,"['C2', 'API\nInitialisation']"
case_15,"Log
Initialisation",2025-01-30 19:44:50,2025-01-30 19:50:33,630,"['C2', 'Log\nInitialisation']"
case_16,API Close,2025-01-30 19:59:08,2025-01-30 20:09:55,790,"['C4', 'API Close']"
case_17,SplitSheet,2025-01-30 20:07:41,2025-01-30 20:19:35,504,"['M1', 'SplitSheet']"
case_18,SplitSheet,2025-01-30 20:24:29,2025-01-30 20:31:04,478,"['M2', 'SplitSheet']"
case_19,HeatSheet,2025-01-30 20:42:47,2025-01-30 20:48:05,491,"['M3', 'HeatSheet']"
case_20,HeatSheet,2025-01-30 20:55:39,2025-01-30 21:04:36,788,"['M2', 'HeatSheet']"
case_21,FormSheet,2025-01-30 21:09:33,2025-01-30 21:15:28,1146,"['M4', 'FormSheet']"
case_22,FormSheet,2025-01-30 21:28:32,2025-01-30 21:40:41,1060,"['M3', 'FormSheet']"
case_23,CoatPart,2025-01-30 21:47:41,2025-01-30 22:05:51,1190,"['M5', 'CoatPart']"
case_24,CoatPart,2025-01-30 22:01:21,2025-01-30 22:11:50,1088,"['M4', 'CoatPart']"
case_25,CutPart,2025-01-30 22:07:06,2025-01-30 22:17:31,861,"['M7', 'CutPart']"
case_26,CutPart,2025-01-30 22:23:53,2025-01-30 22:33:17,526,"['M6', 'CutPart']"
case_27,CheckParts,2025-01-30 22:30:41,2025-01-30 22:41:21,865,"['M9', 'CheckParts']"
case_28,CheckParts,2025-01-30 22:49:33,2025-01-30 22:54:53,1168,"['M6', 'CheckParts']"
case_29,CheckParts,2025-01-30 23:03:17,2025-01-30 23:19:28,334,"['M7', 'CheckParts']"
case_30,CheckParts,2025-01-30 23:09:45,2025-01-30 23:17:24,435,"['M8', 'CheckParts']"
case_31,Assemble,2025-01-30 23:27:16,2025-01-30 23:46:37,402,"['M11', 'Assemble']"
case_32,Assemble,2025-01-30 23:38:42,2025-01-30 23:49:01,702,"['M9', 'Assemble']"
case_33,Assemble,2025-01-30 23:47:11,2025-01-31 00:06:40,1136,"['M10', 'Assemble']"
case_34,Assemble,2025-01-30 23:56:28,2025-01-31 00:15:41,303,"['M8', 'Assemble']"
case_35,Pack,2025-01-31 00:13:28,2025-01-31 00:27:47,341,"['M11', 'Pack']"
case_36,Pack,2025-01-31 00:30:40,2025-01-31 00:42:09,799,"['M12', 'Pack']"
case_37,SwitchPosition,2025-01-31 00:35:47,2025-01-31 00:47:16,342,"['MA1', 'SwitchPosition']"
case_38,CheckParts,2025-01-31 00:42:44,2025-01-31 00:48:51,419,"['MA3', 'CheckParts']"
case_39,SwitchPosition,2025-01-31 00:51:28,2025-01-31 01:08:02,305,"['MA3', 'SwitchPosition']"
case_40,SplitSheet,2025-01-31 01:01:59,2025-01-31 01:21:13,425,"['MA1', 'SplitSheet']"
case_41,CutPart,2025-01-31 01:18:09,2025-01-31 01:33:07,518,"['M51', 'CutPart']"
case_42,MoveParts,2025-01-31 01:36:14,2025-01-31 01:55:32,399,"['M51', 'MoveParts']"
case_43,MoveParts,2025-01-31 01:45:14,2025-01-31 01:55:20,706,"['M5', 'MoveParts']"
case_44,MoveParts,2025-01-31 01:54:33,2025-01-31 02:11:50,305,"['MA23', 'MoveParts']"
case_45,SwitchPosition,2025-01-31 02:04:18,2025-01-31 02:10:16,774,"['MA23', 'SwitchPosition']"
case_46,MoveParts,2025-01-31 02:21:01,2025-01-31 02:34:25,355,"['MA3', 'MoveParts']"
