case_id,activity,started_at,finished_at,objects,object_ids
case_1,(InitSteelCoil),2025-01-26 20:04:03,2025-01-26 20:28:03,P2;token_17;(InitSteelCoil),ID816;token_17;ID901
case_2,(InitSteelCoil),2025-01-26 20:04:03,2025-01-26 20:22:03,P3;token_40;(InitSteelCoil),ID861;token_40;ID901
case_3,(InitSteelPin),2025-01-26 20:04:03,2025-01-26 20:09:03,P4;token_4;token_100;(InitSteelPin),ID101;token_4;token_100;ID78
case_4,(InitSteelPin),2025-01-26 20:04:03,2025-01-26 20:33:03,P5;token_13;token_2;token_77;(InitSteelPin),ID910;token_13;token_2;token_77;ID78
case_5,(InitSteelPin),2025-01-26 20:04:03,2025-01-26 20:34:03,P8;token_72;(InitSteelPin),ID622;token_72;ID78
case_6,(InitSteelCoil),2025-01-26 20:04:03,2025-01-26 20:10:03,P1;token_58;token_24;token_95;(InitSteelCoil),ID150;token_58;token_24;token_95;ID901
case_7,(InitSteelPin),2025-01-26 20:04:03,2025-01-26 20:20:03,P4;token_50;token_77;(InitSteelPin),ID101;token_50;token_77;ID78
case_8,(InitSteelCoil),2025-01-26 20:04:03,2025-01-26 20:13:03,P2;token_70;token_13;token_87;(InitSteelCoil),ID816;token_70;token_13;token_87;ID901
case_9,"Log
Initialisation",2025-01-26 20:04:03,2025-01-26 20:15:03,"C1;token_73;Log
Initialisation",ID481;token_73;ID653
case_10,"API
Initialisation",2025-01-26 20:04:03,2025-01-26 20:34:03,"C3;token_94;token_49;token_32;API
Initialisation",ID562;token_94;token_49;token_32;ID730
case_11,"Manufactoring
Process",2025-01-26 20:04:03,2025-01-26 20:16:03,"P5;token_62;token_75;Manufactoring
Process",ID910;token_62;token_75;ID814
case_12,"Manufactoring
Process",2025-01-26 20:04:03,2025-01-26 20:23:03,"P3;token_33;token_8;Manufactoring
Process",ID861;token_33;token_8;ID814
case_13,"Manufactoring
Process",2025-01-26 20:04:03,2025-01-26 20:14:03,"P6;token_4;Manufactoring
Process",ID174;token_4;ID814
case_14,"API
Initialisation",2025-01-26 20:04:03,2025-01-26 20:23:03,"C2;token_13;token_23;API
Initialisation",ID512;token_13;token_23;ID730
case_15,"Log
Initialisation",2025-01-26 20:04:03,2025-01-26 20:31:03,"C2;token_91;token_13;Log
Initialisation",ID512;token_91;token_13;ID653
case_16,API Close,2025-01-26 20:04:03,2025-01-26 20:12:03,C4;token_60;API Close,ID609;token_60;ID796
case_17,SplitSheet,2025-01-26 20:04:03,2025-01-26 20:28:03,M1;token_53;token_23;SplitSheet,ID233;token_53;token_23;ID671
case_18,SplitSheet,2025-01-26 20:04:03,2025-01-26 20:33:03,M2;token_10;token_99;token_100;SplitSheet,ID594;token_10;token_99;token_100;ID671
case_19,HeatSheet,2025-01-26 20:04:03,2025-01-26 20:13:03,M3;token_81;HeatSheet,ID883;token_81;ID855
case_20,HeatSheet,2025-01-26 20:04:03,2025-01-26 20:18:03,M2;token_18;token_25;token_54;HeatSheet,ID594;token_18;token_25;token_54;ID855
case_21,FormSheet,2025-01-26 20:04:03,2025-01-26 20:34:03,M4;token_51;FormSheet,ID733;token_51;ID24
